restaurant_name,location,primary_cuisine,cuisine_tags,cost,budget_label,rating,votes,address,affordability
Jalsa,Banashankari,North Indian,"['North Indian', 'Mughlai', 'Chinese']",,,4.2,775,"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",unknown
Spice Elephant,Banashankari,Chinese,"['Chinese', 'North Indian', 'Thai']",,,4.0,787,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",unknown
San Churro Cafe,Banashankari,Cafe,"['Cafe', 'Mexican', 'Italian']",,,4.0,918,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",unknown
Addhuri Udupi Bhojana,Banashankari,South Indian,"['South Indian', 'North Indian']",,,4.6,88,"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",unknown
Grand Village,Basavanagudi,North Indian,"['North Indian', 'Rajasthani']",,,4.2,166,"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore",unknown
Timepass Dinner,Basavanagudi,North Indian,['North Indian'],,,3.5,286,"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",unknown
Rosewood International Hotel - Bar & Restaurant,Mysore Road,North Indian,"['North Indian', 'South Indian', 'Andhra', 'Chinese']",,,5.0,8,"19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore",unknown
Onesta,Banashankari,Pizza,"['Pizza', 'Cafe', 'Italian']",,,4.5,2556,"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",unknown
Penthouse Cafe,Banashankari,Cafe,"['Cafe', 'Italian', 'Continental']",,,3.7,324,"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",unknown
Smacznego,Banashankari,Cafe,"['Cafe', 'Mexican', 'Italian', 'Momos', 'Beverages']",,,4.3,504,"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",unknown
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,['Cafe'],,,4.0,402,"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",unknown
Cafe Shuffle,Banashankari,Cafe,"['Cafe', 'Italian', 'Continental']",,,3.3,150,"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",unknown
The Coffee Shack,Banashankari,Cafe,"['Cafe', 'Chinese', 'Continental', 'Italian']",,,4.4,164,"6th Block, 3rd Stage, Banashankari, Bangalore",unknown
Caf-Eleven,Banashankari,Cafe,"['Cafe', 'Continental']",,,3.1,424,"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",unknown
San Churro Cafe,Banashankari,Cafe,"['Cafe', 'Mexican', 'Italian']",,,3.4,918,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",unknown
Cafe Vivacity,Banashankari,Cafe,['Cafe'],,,3.3,90,"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",unknown
Catch-up-ino,Banashankari,Cafe,"['Cafe', 'Fast Food', 'Continental', 'Chinese', 'Momos']",,,3.4,133,"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",unknown
Kirthi's Biryani,Banashankari,Chinese,"['Chinese', 'Cafe', 'Italian']",,,3.6,144,"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",unknown
T3H Cafe,Banashankari,Cafe,"['Cafe', 'Italian', 'American']",,,3.7,93,"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore",unknown
360 Atoms Restaurant And Cafe,Banashankari,Cafe,"['Cafe', 'Chinese', 'Continental', 'Italian']",,,2.9,13,"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",unknown
The Vintage Cafe,Banashankari,Cafe,"['Cafe', 'French', 'North Indian']",,,4.4,62,"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",unknown
Woodee Pizza,Banashankari,Cafe,"['Cafe', 'Pizza', 'Fast Food', 'Beverages']",,,3.5,180,"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",unknown
Cafe Coffee Day,Banashankari,Cafe,"['Cafe', 'Fast Food']",,,4.0,28,"SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore",unknown
My Tea House,Banashankari,Italian,"['Italian', 'Fast Food', 'Cafe', 'European']",,,3.2,62,"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",unknown
Hide Out Cafe,Banashankari,Cafe,['Cafe'],,,3.5,31,"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",unknown
CAFE NOVA,Banashankari,Cafe,"['Cafe', 'Bakery']",,,3.9,11,"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",unknown
Coffee Tindi,Banashankari,Cafe,"['Cafe', 'South Indian']",,,3.2,75,"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",unknown
Sea Green Cafe,Banashankari,Cafe,"['Cafe', 'Fast Food', 'Beverages']",,,3.6,4,"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",unknown
Cuppa,Banashankari,Cafe,"['Cafe', 'Fast Food']",,,3.5,23,"940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore",unknown
Srinathji's Cafe,Basavanagudi,North Indian,"['North Indian', 'Cafe', 'Chinese', 'Fast Food']",,,4.1,148,"112, Bull Temple Road,next to more Basavanagudi, Bangalore",unknown
Redberrys,Basavanagudi,Cafe,"['Cafe', 'Italian']",,,3.9,219,"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",unknown
Foodiction,Banashankari,North Indian,"['North Indian', 'Fast Food', 'Chinese', 'Burger']",,,5.0,506,"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",unknown
Sweet Truth,Banashankari,Bakery,"['Bakery', 'Desserts']",,,3.9,35,"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",unknown
Ovenstory Pizza,Banashankari,Pizza,['Pizza'],,,3.4,172,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",unknown
Faasos,Banashankari,North Indian,"['North Indian', 'Biryani', 'Fast Food']",,,4.6,415,"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",unknown
Behrouz Biryani,Banashankari,Biryani,['Biryani'],,,3.5,230,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",unknown
Fast And Fresh,Banashankari,North Indian,"['North Indian', 'Chinese', 'Fast Food']",,,4.0,91,"32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore",unknown
Szechuan Dragon,Banashankari,Chinese,"['Chinese', 'Thai', 'Momos']",,,3.1,1647,"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",unknown
Empire Restaurant,Jayanagar,North Indian,"['North Indian', 'Mughlai', 'South Indian', 'Chinese']",,,3.2,4884,"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",unknown
Maruthi Davangere Benne Dosa,Banashankari,South Indian,['South Indian'],,,3.9,17,"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",unknown
Chaatimes,Basavanagudi,Street Food,"['Street Food', 'Fast Food']",,,4.1,133,"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",unknown
Havyaka Mess,Banashankari,South Indian,['South Indian'],,,3.7,28,"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",unknown
McDonald's,Banashankari,Burger,"['Burger', 'Fast Food']",,,4.0,286,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",unknown
Domino's Pizza,Banashankari,Pizza,"['Pizza', 'Fast Food']",,,3.6,540,"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",unknown
Onesta,Banashankari,Pizza,"['Pizza', 'Cafe', 'Italian']",,,3.5,2556,"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",unknown
Hotboxit,Banashankari,North Indian,"['North Indian', 'Continental', 'Italian']",,,3.7,36,"2nd Stage, Banashankari, Bangalore",unknown
Kitchen Garden,Kumaraswamy Layout,North Indian,"['North Indian', 'Chinese']",,,3.7,244,"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",unknown
Recipe,Kumaraswamy Layout,North Indian,"['North Indian', 'Chinese', 'Biryani', 'Rolls']",,,4.5,804,"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",unknown
Beijing Bites,Rajarajeshwari Nagar,Chinese,"['Chinese', 'Thai']",,,4.4,679,"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore",unknown
Tasty Bytes,Kumaraswamy Layout,North Indian,"['North Indian', 'Chinese', 'Momos', 'Rolls']",,,3.2,245,"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",unknown
Petoo,Banashankari,North Indian,['North Indian'],,,4.3,21,"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore",unknown
Shree Cool Point,Vijay Nagar,Fast Food,"['Fast Food', 'Street Food', 'Beverages']",,,3.5,28,"1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, Bangalore",unknown
Corner House Ice Cream,Banashankari,Ice Cream,"['Ice Cream', 'Desserts']",,,3.6,345,"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",unknown
Biryanis And More,Jayanagar,Biryani,"['Biryani', 'North Indian', 'Chinese', 'Andhra', 'South Indian']",,,4.3,618,"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",unknown
Roving Feast,Banashankari,Italian,"['Italian', 'Continental', 'Fast Food', 'Chinese', 'Momos']",,,4.6,1047,"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",unknown
FreshMenu,Banashankari,Healthy Food,"['Healthy Food', 'Chinese', 'Biryani', 'North Indian', 'Continental', 'Salad', 'American', 'Burger']",,,4.6,627,"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",unknown
Banashankari Donne Biriyani,Banashankari,Biryani,"['Biryani', 'Fast Food']",,,3.5,104,"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",unknown
Wamama,Banashankari,Asian,"['Asian', 'Korean', 'Indonesian', 'Japanese', 'Chinese', 'Thai', 'Momos']",,,4.1,354,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",unknown
Five Star Chicken,Banashankari,Fast Food,"['Fast Food', 'Burger']",,,4.0,55,"484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore",unknown
XO Belgian Waffle,Banashankari,Desserts,"['Desserts', 'Beverages']",,,4.1,17,"18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore",unknown
Peppy Peppers,Banashankari,Italian,"['Italian', 'North Indian', 'Mexican']",,,3.6,244,"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",unknown
